method,lag,real_acf,synthetic_acf,difference,absolute_difference,acf_mae,real_valid_windows,synthetic_valid_windows
bootstrap_jitter,1,-0.0353473916628,0.0581519236763,0.0934993153391,0.0934993153391,0.0326474304467,380,380
bootstrap_jitter,2,-0.0925940864245,0.0494530804797,0.142047166904,0.142047166904,0.0326474304467,380,380
bootstrap_jitter,3,0.0123634046391,0.0340918982389,0.0217284935998,0.0217284935998,0.0326474304467,380,380
bootstrap_jitter,4,0.0102675603357,0.0312002528515,0.0209326925158,0.0209326925158,0.0326474304467,380,380
bootstrap_jitter,5,0.0645833860963,0.00850836738382,-0.0560750187125,0.0560750187125,0.0326474304467,380,380
bootstrap_jitter,6,-0.00528992537183,0.0148009130482,0.02009083842,0.02009083842,0.0326474304467,380,380
bootstrap_jitter,7,-0.0364270082596,-0.0157243242994,0.0207026839602,0.0207026839602,0.0326474304467,380,380
bootstrap_jitter,8,-0.0052364422875,0.000898683710561,0.00613512599806,0.00613512599806,0.0326474304467,380,380
bootstrap_jitter,9,-0.0115889600717,-0.00254590620247,0.00904305386923,0.00904305386923,0.0326474304467,380,380
bootstrap_jitter,10,-0.00953207181466,0.00467962667083,0.0142116984855,0.0142116984855,0.0326474304467,380,380
bootstrap_jitter,11,0.00680199657136,-0.00217260699608,-0.00897460356744,0.00897460356744,0.0326474304467,380,380
bootstrap_jitter,12,-0.0540737296906,-0.00876067450928,0.0453130551813,0.0453130551813,0.0326474304467,380,380
bootstrap_jitter,13,0.0404783611959,-0.0132759807308,-0.0537543419267,0.0537543419267,0.0326474304467,380,380
bootstrap_jitter,14,-0.0318401262108,-0.0241301874753,0.0077099387355,0.0077099387355,0.0326474304467,380,380
bootstrap_jitter,15,-0.0425583979878,-0.0163843852005,0.0261740127873,0.0261740127873,0.0326474304467,380,380
bootstrap_jitter,16,-0.00152077482418,-0.0135563755487,-0.0120356007245,0.0120356007245,0.0326474304467,380,380
bootstrap_jitter,17,-0.0112463362761,-0.020863747336,-0.00961741105991,0.00961741105991,0.0326474304467,380,380
