method,row_channel,column_channel,correlation
real,log_return,log_return,1
real,log_return,log_high_low_range,-0.0420370178841
real,log_return,log1p_volume,-0.0391482762185
real,log_high_low_range,log_return,-0.0420370178841
real,log_high_low_range,log_high_low_range,1
real,log_high_low_range,log1p_volume,0.274404314974
real,log1p_volume,log_return,-0.0391482762185
real,log1p_volume,log_high_low_range,0.274404314974
real,log1p_volume,log1p_volume,1
bootstrap_jitter,log_return,log_return,1
bootstrap_jitter,log_return,log_high_low_range,-0.0412016347689
bootstrap_jitter,log_return,log1p_volume,-0.0126665585078
bootstrap_jitter,log_high_low_range,log_return,-0.0412016347689
bootstrap_jitter,log_high_low_range,log_high_low_range,1
bootstrap_jitter,log_high_low_range,log1p_volume,0.386102963756
bootstrap_jitter,log1p_volume,log_return,-0.0126665585078
bootstrap_jitter,log1p_volume,log_high_low_range,0.386102963756
bootstrap_jitter,log1p_volume,log1p_volume,1
cristian,log_return,log_return,1
cristian,log_return,log_high_low_range,-0.0317207243059
cristian,log_return,log1p_volume,0.00261426230753
cristian,log_high_low_range,log_return,-0.0317207243059
cristian,log_high_low_range,log_high_low_range,1
cristian,log_high_low_range,log1p_volume,0.384830578803
cristian,log1p_volume,log_return,0.00261426230753
cristian,log1p_volume,log_high_low_range,0.384830578803
cristian,log1p_volume,log1p_volume,1
daniel,log_return,log_return,1
daniel,log_return,log_high_low_range,-0.0436970112007
daniel,log_return,log1p_volume,-0.0198272346808
daniel,log_high_low_range,log_return,-0.0436970112007
daniel,log_high_low_range,log_high_low_range,1
daniel,log_high_low_range,log1p_volume,0.493583752231
daniel,log1p_volume,log_return,-0.0198272346808
daniel,log1p_volume,log_high_low_range,0.493583752231
daniel,log1p_volume,log1p_volume,1
david,log_return,log_return,1
david,log_return,log_high_low_range,-0.0331835559155
david,log_return,log1p_volume,-0.00390850665451
david,log_high_low_range,log_return,-0.0331835559155
david,log_high_low_range,log_high_low_range,1
david,log_high_low_range,log1p_volume,0.38697624409
david,log1p_volume,log_return,-0.00390850665451
david,log1p_volume,log_high_low_range,0.38697624409
david,log1p_volume,log1p_volume,1
marco,log_return,log_return,1
marco,log_return,log_high_low_range,-0.153045712883
marco,log_return,log1p_volume,-0.0354527232222
marco,log_high_low_range,log_return,-0.153045712883
marco,log_high_low_range,log_high_low_range,1
marco,log_high_low_range,log1p_volume,0.250064035975
marco,log1p_volume,log_return,-0.0354527232222
marco,log1p_volume,log_high_low_range,0.250064035975
marco,log1p_volume,log1p_volume,1
