method,channel,count,mean,std,median,p01,p05,p25,p75,p95,p99,skewness,excess_kurtosis
real,log_return,24700,-0.10381385923,1.24507762205,-0.0943538248539,-3.32960653305,-2.12106347084,-0.870974481106,0.668834388256,1.83955228329,2.88892817497,-0.0665979545387,1.02097279893
real,log_high_low_range,24700,0.608964709334,0.953306519815,0.400352567434,-0.72058224678,-0.535530388355,-0.0555142685771,1.05246976018,2.46436190605,3.89186998606,1.40743572455,2.81598168372
real,log1p_volume,24700,0.14575098898,1.02069324143,0.0147592136636,-1.61751008034,-1.28792393208,-0.669043362141,0.867995560169,2.06381726265,2.40689492226,0.40483953362,-0.664358805735
bootstrap_jitter,log_return,24700,-0.00790155353709,0.99110224524,-0.00201167725027,-2.72720401764,-1.47002663016,-0.442516595125,0.447263672948,1.41821479797,2.79540821552,-0.482139926632,10.5308882206
bootstrap_jitter,log_high_low_range,24700,-0.0166772270599,0.986448233233,-0.261843651533,-1.22390232801,-1.0113799572,-0.646304666996,0.321584753692,1.74822341204,3.66573601961,2.80393029363,16.5864055166
bootstrap_jitter,log1p_volume,24700,-0.00473296579641,1.01032084649,-0.0497390069067,-1.94712836266,-1.51427665353,-0.830737039447,0.807561710477,1.59600809216,2.19201346636,-0.00906264882213,1.02505895836
cristian,log_return,24700,0.00261753521374,0.917052486704,0.00909051951021,-2.75731461525,-1.38143268824,-0.38485866785,0.399513438344,1.36460343599,2.56997035027,0.0164295076409,8.1043355261
cristian,log_high_low_range,24700,0.00191093925241,0.981828068399,-0.244711346924,-1.20613603234,-0.985663130879,-0.620560392737,0.327893547714,1.80801353455,3.70074832916,2.62007437073,13.2243245838
cristian,log1p_volume,24700,0.036267006266,1.00052870213,0.0097166178748,-1.86674233794,-1.49074929953,-0.782035931945,0.849473267794,1.60445864201,2.19298784256,0.111316205369,-0.765764440898
daniel,log_return,24700,-0.00604533887567,0.900446636608,0.00371085829102,-2.4317850256,-1.49781764746,-0.490573681891,0.50360879302,1.43468074799,2.31543447256,-0.222366367661,2.1413034091
daniel,log_high_low_range,24700,0.0193495142246,0.719461031997,-0.131976589561,-1.02474719882,-0.84046292901,-0.484916523099,0.356518603861,1.40030312538,2.42632613182,1.43086616818,3.30700348721
daniel,log1p_volume,24700,0.011594298372,0.452987593577,-0.00569817121141,-1.00750468373,-0.701258671284,-0.289139255881,0.296534717083,0.782352221012,1.1792329967,0.237393718187,0.50491147196
marco,log_return,24700,-0.00158668098455,0.0930556184928,0.00238293688744,-0.286831141114,-0.15443720445,-0.045462006703,0.049826560542,0.137399012595,0.22488131091,-0.700384484215,4.26981417874
marco,log_high_low_range,24700,-0.0641962359868,0.505691514807,-0.172797113657,-0.883180595636,-0.706538921595,-0.406363815069,0.188934333622,0.933918213844,1.52732609034,1.12004733411,1.6831228004
marco,log1p_volume,24700,-0.0395946532655,0.686544168428,-0.104221053421,-1.40893095851,-1.0588031888,-0.591073527932,0.515555769205,1.07997640967,1.45844162703,0.145249251356,-0.821897177938
