method,ratio,subsampling_seed,rmse,mae
REAL_ONLY,0.0,,1.479584453980657,1.1469339074022384
bootstrap_jitter,0.25,42.0,0.28382969019016796,0.2071177598611175
bootstrap_jitter,0.25,123.0,0.2617220775528142,0.18576775726788042
bootstrap_jitter,0.25,2026.0,0.31084965777049406,0.22852598311115552
bootstrap_jitter,0.5,42.0,0.26483672233972194,0.1820074991303564
bootstrap_jitter,0.5,123.0,0.3362473173275469,0.2525696821293531
bootstrap_jitter,0.5,2026.0,0.2510574846291108,0.17819469082877626
bootstrap_jitter,0.75,42.0,0.26921656859171894,0.1911379353627275
bootstrap_jitter,0.75,123.0,0.2571196998447265,0.17736669590704754
bootstrap_jitter,0.75,2026.0,0.26189570795883377,0.18363776781516028
cristian,0.25,42.0,0.258700813597927,0.1821876105651516
cristian,0.25,123.0,0.30436061386001195,0.22148490644829621
cristian,0.25,2026.0,0.2869404198840258,0.20126761260485462
cristian,0.5,42.0,0.3163874959010474,0.23406963096597072
cristian,0.5,123.0,0.25207307902643084,0.18578806047151702
cristian,0.5,2026.0,0.2562731782615979,0.17957586364020364
cristian,0.75,42.0,0.23861200373221303,0.17136378969591035
cristian,0.75,123.0,0.2469355568090165,0.1791502236069696
cristian,0.75,2026.0,0.275427095660703,0.19621255497508613
daniel,0.25,42.0,0.29402646354695483,0.22145244174226983
daniel,0.25,123.0,0.2773605665443632,0.19476974150184864
daniel,0.25,2026.0,0.35797479633335766,0.27195793470486235
daniel,0.5,42.0,0.26005890888333816,0.19609874419228765
daniel,0.5,123.0,0.3994470239400616,0.3396575524094073
daniel,0.5,2026.0,0.26839668514172627,0.19217277447187678
daniel,0.75,42.0,0.23901821862831474,0.1722339911285683
daniel,0.75,123.0,0.2549402535130433,0.19539811271514942
daniel,0.75,2026.0,0.23984277023085615,0.17118726287137187
marco,0.25,42.0,0.38241692316412185,0.2737302348872016
marco,0.25,123.0,0.3810233697753341,0.2781396681632354
marco,0.25,2026.0,0.3810639255538564,0.27633741536226203
marco,0.5,42.0,0.3579388473705612,0.25681073972215984
marco,0.5,123.0,0.35859590194043994,0.2570018899684405
marco,0.5,2026.0,0.35140569235144536,0.2521426683880119
marco,0.75,42.0,0.32660748416888774,0.2363082963575346
marco,0.75,123.0,0.32103908274372084,0.2329381471153177
marco,0.75,2026.0,0.3191757699336912,0.23107881919859133
