method,ratio,mean_rmse,std_rmse,mean_mae,std_mae,delta_rmse_vs_real_only,delta_rmse_pct_vs_real_only,delta_mae_vs_real_only,delta_mae_pct_vs_real_only
REAL_ONLY,0.0,1.479584453980657,0.0,1.1469339074022384,0.0,0.0,0.0,0.0,0.0
bootstrap_jitter,0.25,0.2854671418378254,0.020089644437453424,0.2071371667467178,0.017455977997743087,-1.1941173121428317,-80.70626241916723,-0.9397967406555207,-81.9399212622569
bootstrap_jitter,0.5,0.2840471747654599,0.03733727369620551,0.20425729069616194,0.03419746336871165,-1.1955372792151973,-80.8022330863735,-0.9426766167060765,-82.19101472387395
bootstrap_jitter,0.75,0.26274399213175975,0.0049748197889651034,0.18404746636164512,0.005629544014137257,-1.2168404618488973,-82.24204157965593,-0.9628864410405933,-83.95308873738804
cristian,0.25,0.2833339491139883,0.018814166888362332,0.20164670987276748,0.016045293224406093,-1.1962505048666687,-80.85043754334468,-0.945287197529471,-82.41862860873216
cristian,0.5,0.2749112510630254,0.02937821611096647,0.19981118502589712,0.02435677436278531,-1.2046732029176317,-81.41969859689947,-0.9471227223763413,-82.57866615187427
cristian,0.75,0.2536582187339775,0.015763531455943544,0.1822421894259887,0.010377394452828058,-1.2259262352466795,-82.85611760440315,-0.9646917179762498,-84.11048899593871
daniel,0.25,0.3097872754748919,0.03474637540414878,0.22939337264966028,0.03200831225628123,-1.1697971785057653,-79.0625486337435,-0.9175405347525781,-79.99942532266505
daniel,0.5,0.30930087265504197,0.06383377409000121,0.2426430236911906,0.06861835224085303,-1.1702835813256152,-79.09542291939454,-0.9042908837110478,-78.8442017342771
daniel,0.75,0.2446004141240714,0.007319115624108983,0.17960645557169652,0.01117456148321948,-1.2349840398565857,-83.46830331543418,-0.9673274518305419,-84.34029594795935
marco,0.25,0.38150140616443745,0.0006475799694896127,0.27606910613756636,0.0018101137780060638,-1.0980830478162196,-74.2156383748119,-0.870864801264672,-75.92981562792468
marco,0.5,0.3559801472208155,0.0032457313701617137,0.25531843269287074,0.002246959989878904,-1.1236043067598416,-75.94053206877847,-0.8916154747093676,-77.73904572486158
marco,0.75,0.32227411228209996,0.003157168308142329,0.23344175422381452,0.0021644203117345633,-1.157310341698557,-78.21860648677016,-0.9134921531784239,-79.64645105378817
