method,ratio,subsampling_seed,rmse,mae
cristian,0.0,,1.4795890724935552,1.1469369854936482
cristian,0.25,42.0,0.258700369501809,0.182187253463871
cristian,0.25,123.0,0.3043595047282876,0.221483874540329
cristian,0.25,2026.0,0.2869394438033488,0.2012667438252014
cristian,0.5,42.0,0.31638735921348,0.2340695798791444
cristian,0.5,123.0,0.25207290422217477,0.18578807231688976
cristian,0.5,2026.0,0.25627273224486574,0.1795754136491131
cristian,0.75,42.0,0.23861187288848304,0.17136366254423405
cristian,0.75,123.0,0.24693548293989986,0.17915023525972756
cristian,0.75,2026.0,0.2754267739574895,0.19621222657691503
daniel,0.0,,1.4795890724935552,1.1469369854936482
daniel,0.25,42.0,0.294026579669663,0.2214526284583974
daniel,0.25,123.0,0.27736040633875225,0.19476984196826352
daniel,0.25,2026.0,0.3579754656967006,0.2719586932084661
daniel,0.5,42.0,0.26005898776012043,0.19609917110972142
daniel,0.5,123.0,0.3994477209628921,0.33965818631155836
daniel,0.5,2026.0,0.26839629542823107,0.19217247216274663
daniel,0.75,42.0,0.23901819697995202,0.17223410266050598
daniel,0.75,123.0,0.25494041532937683,0.1953984838738522
daniel,0.75,2026.0,0.2398427709310777,0.17118745329679597
marco,0.0,,1.4795890724935552,1.1469369854936482
marco,0.25,42.0,0.3777872208417402,0.27077367208389397
marco,0.25,123.0,0.3803644183865762,0.2724978846648031
marco,0.25,2026.0,0.38466728932322025,0.2779792624984002
marco,0.5,42.0,0.3729205960899358,0.2670777791142902
marco,0.5,123.0,0.3808409682362891,0.2730707170807036
marco,0.5,2026.0,0.37261362663308284,0.2671763204803117
marco,0.75,42.0,0.35130021636226,0.25291568989778135
marco,0.75,123.0,0.34230466926226666,0.24703822319495666
marco,0.75,2026.0,0.35920647810250844,0.25784906934704416
