method,ratio,mean_rmse,std_rmse,mean_mae,std_mae,delta_rmse_vs_real_only,delta_rmse_pct_vs_real_only,delta_mae_vs_real_only,delta_mae_pct_vs_real_only
cristian,0.0,1.4795890724935552,0.0,1.1469369854936482,0.0,0.0,0.0,0.0,0.0
cristian,0.25,0.2833331060111485,0.018813885149202143,0.20164595727646714,0.01604501914692732,-1.1962559664824068,-80.85055430061765,-0.945291028217181,-82.41874141065583
cristian,0.5,0.2749109985601735,0.02937829140297768,0.1998110219483824,0.024356872754277597,-1.2046780739333818,-81.41977366074588,-0.9471259635452658,-82.57872712489234
cristian,0.75,0.25365804326195746,0.01576343549997822,0.18224204146029221,0.010377290359496527,-1.2259310292315977,-82.85618297825984,-0.964694944033356,-84.11054454034768
daniel,0.0,1.4795890724935552,0.0,1.1469369854936482,0.0,0.0,0.0,0.0,0.0
daniel,0.25,0.3097874839017053,0.03474671711572274,0.229393721211709,0.03200859680911838,-1.16980158859185,-79.06259990284873,-0.9175432642819392,-79.99944860850601
daniel,0.5,0.3093010013837479,0.06383416516228507,0.2426432765280088,0.0686186285755685,-1.1702880711098074,-79.09547947238606,-0.9042937089656394,-78.84423646661166
daniel,0.75,0.24460046108013553,0.007319197176262863,0.17960667994371804,0.011174663969548521,-1.2349886114134196,-83.46835174526467,-0.9673303055499302,-84.34031841196452
marco,0.0,1.4795890724935552,0.0,1.1469369854936482,0.0,0.0,0.0,0.0,0.0
marco,0.25,0.38093964285051224,0.002838074225643935,0.27375027308236577,0.003072077567026357,-1.098649429643043,-74.25368638276615,-0.8731867124112824,-76.13205637757491
marco,0.5,0.37545839698643596,0.0038081152386860873,0.26910827222510186,0.002802160419565341,-1.1041306755071192,-74.62414369189176,-0.8778287132685463,-76.5367866213438
marco,0.75,0.35093712124234505,0.006904909560962082,0.25260099414659404,0.0044191155746286116,-1.12865195125121,-76.28144680394875,-0.8943359913470541,-77.976035532774
