method,family,sha256,path,c2st_auc,c2st_distance_from_0p5,c2st_accuracy,mean_wasserstein,return_acf_mae,abs_return_acf_mae,corr_mae,nearest_train_median,nearest_train_mean,normalizer_mean_0
baseline_jitter_0p05,bootstrap_independent,6ff556f3cbecb30a53f6c20787834d4756183d7f2763fa42e80814359fff107b,generadores/david/experiments/outputs/baseline_jitter_0p05_seed42_normalized.parquet,0.897029085873,0.397029085873,0.834210526316,0.374279806878,0.0357665666184,0.0326473249271,0.0463386645254,0.695692529918,0.698201824646,0.000811428974336
bootstrap_jitter_0p02,bootstrap_independent,10b01097ff1a4cbf126328d945d1a77c094fe470c20ef0bbc7600d9460bbe03b,generadores/david/experiments/outputs/bootstrap_jitter_0p02_seed42_normalized.parquet,0.897479224377,0.397479224377,0.826315789474,0.37465560407,0.0358014951531,0.0328690884263,0.0467282214058,0.278276951923,0.279280728937,0.000811428974336
bootstrap_jitter_0p075,bootstrap_independent,11f89e07c474c0f6fe2a254f4f2ccde8b0bc403d7261dc662f6916be1eb3ee6a,generadores/david/experiments/outputs/bootstrap_jitter_0p075_seed42_normalized.parquet,0.896191135734,0.396191135734,0.832894736842,0.373699142798,0.0357545874579,0.0324248955795,0.0458697234906,1.04353872764,1.04730274012,0.000811428974336
bootstrap_jitter_0p10,bootstrap_independent,a5ee8cacb63ad4a66806c396b7ccc19e16efb8ba00f927cfbb6835e250ffdc66,generadores/david/experiments/outputs/bootstrap_jitter_0p10_seed42_normalized.parquet,0.895055401662,0.395055401662,0.827631578947,0.372878596865,0.0357541397115,0.0321160135106,0.0452727463089,1.39138497747,1.39640365335,0.000811428974336
bootstrap_jitter_0p125,bootstrap_independent,7bbf3eef694835c6ad87608b24a0164eab35f02d7cddbc1fc14ad6a2f6b0d8c2,generadores/david/experiments/outputs/bootstrap_jitter_0p125_seed42_normalized.parquet,0.894168975069,0.394168975069,0.826315789474,0.37182904793,0.0357617013228,0.0317520861372,0.0445516469331,1.73923122096,1.74550456853,0.000811428974336
bootstrap_jitter_0p15,bootstrap_independent,436f1070c57d1be7627a31464839ad80a4bd9d24ec38f18a76243758fe259a84,generadores/david/experiments/outputs/bootstrap_jitter_0p15_seed42_normalized.parquet,0.892943213296,0.392943213296,0.827631578947,0.370583094009,0.0357747226679,0.0313589706736,0.0437111722591,2.08707747994,2.09460548042,0.000811428974336
correlated_jitter_0p10,bootstrap_temporal,0b8fa0db0f89dacf28ba53d3394b96fae8c0a794ac7d48f096ed73703ae734bb,generadores/david/experiments/outputs/correlated_jitter_0p10_seed42_normalized.parquet,0.897333795014,0.397333795014,0.838157894737,0.37221915638,0.0357459695955,0.0322074787084,0.0472786631762,1.39385758043,1.39606525893,0.000811428974336
correlated_jitter_0p125,bootstrap_temporal,2610837a734495b341e3fd98f43304789fc882734085a93672de0306282549b2,generadores/david/experiments/outputs/correlated_jitter_0p125_seed42_normalized.parquet,0.897403047091,0.397403047091,0.839473684211,0.370986852228,0.0357280469347,0.0319407644209,0.0473672108817,1.74232195043,1.74508157598,0.000811428974336
temporal_jitter_0p03_rho0p85,bootstrap_temporal,45a0ad833156efc5738f0b51f378551ced29a6bee13dc2040396aab7bda13e35,generadores/david/experiments/outputs/temporal_jitter_0p03_rho0p85_seed42_normalized.parquet,0.895367036011,0.395367036011,0.832894736842,0.374219119003,0.035979033771,0.0329193261115,0.0471801671994,0.413881871898,0.417246350078,0.000811428974336
temporal_jitter_0p05_rho0p85,bootstrap_temporal,a259127dcadd8dfa19c57a1f150f66da548b6dd39d4c1b606dc547b5317c0234,generadores/david/experiments/outputs/temporal_jitter_0p05_rho0p85_seed42_normalized.parquet,0.893559556787,0.393559556787,0.836842105263,0.373712897111,0.036212627914,0.0327872354979,0.0473685869924,0.689803244879,0.69541058187,0.000811428974336
