method,generated,valid,invalid,invalid_rate
baseline_jitter_0p05,5000,5000,0,0
bootstrap_jitter_0p02,5000,5000,0,0
bootstrap_jitter_0p075,5000,5000,0,0
bootstrap_jitter_0p10,5000,5000,0,0
bootstrap_jitter_0p125,5000,5000,0,0
bootstrap_jitter_0p15,5000,5000,0,0
correlated_jitter_0p10,5000,5000,0,0
correlated_jitter_0p125,5000,5000,0,0
temporal_jitter_0p03_rho0p85,5000,5000,0,0
temporal_jitter_0p05_rho0p85,5000,5000,0,0
temporal_jitter_0p075_rho0p85,5000,5000,0,0
temporal_jitter_0p10_rho0p85,5000,5000,0,0
temporal_jitter_0p10_rho0p65,5000,5000,0,0
temporal_jitter_0p10_rho0p95,5000,5000,0,0
temporal_jitter_0p125_rho0p85,5000,5000,0,0
temporal_jitter_0p15_rho0p85,5000,5000,0,0
temporal_jitter_0p175_rho0p85,5000,5000,0,0
temporal_jitter_0p20_rho0p85,5000,5000,0,0
temporal_jitter_0p25_rho0p85,5000,5000,0,0
temporal_jitter_0p30_rho0p85,5000,5000,0,0
temporal_jitter_0p40_rho0p85,5000,5000,0,0
temporal_jitter_0p50_rho0p85,5000,4976,24,0.0048
regime_temporal_jitter_0p03_rho0p85,5000,5000,0,0
regime_temporal_jitter_0p05_rho0p85,5000,5000,0,0
regime_temporal_jitter_0p075_rho0p85,5000,5000,0,0
regime_temporal_jitter_0p10_rho0p85,5000,5000,0,0
regime_mixup_jitter_0p01_rho0p85,5000,5000,0,0
regime_mixup_jitter_0p02_rho0p85,5000,5000,0,0
regime_mixup_jitter_0p03_rho0p85,5000,5000,0,0
pca_gmm_24c8,5000,4976,24,0.0048
pca_gmm_32c12,5000,4990,10,0.002
