method,ratio,subsampling_seed,rmse,mae
baseline_jitter_0p05,0,,1.47957624427,1.14692737976
baseline_jitter_0p05,0.25,42,0.28382960868,0.207117849771
baseline_jitter_0p05,0.25,123,0.261722114454,0.1857677884
baseline_jitter_0p05,0.25,2026,0.310850768652,0.228527271808
baseline_jitter_0p05,0.5,42,0.264836475208,0.182007331853
baseline_jitter_0p05,0.5,123,0.336247381096,0.252569826067
baseline_jitter_0p05,0.5,2026,0.251057071651,0.17819457571
baseline_jitter_0p05,0.75,42,0.26921638901,0.191137840272
baseline_jitter_0p05,0.75,123,0.257119301623,0.177366403321
baseline_jitter_0p05,0.75,2026,0.261895356796,0.183637482688
bootstrap_jitter_0p02,0,,1.47957624427,1.14692737976
bootstrap_jitter_0p02,0.25,42,0.286412403357,0.209301222249
bootstrap_jitter_0p02,0.25,123,0.263474921828,0.187484852517
bootstrap_jitter_0p02,0.25,2026,0.313225980214,0.23115253842
bootstrap_jitter_0p02,0.5,42,0.264972028113,0.182555423871
bootstrap_jitter_0p02,0.5,123,0.336165881492,0.252451087654
bootstrap_jitter_0p02,0.5,2026,0.250945940814,0.177898248597
bootstrap_jitter_0p02,0.75,42,0.268633317071,0.190594793265
bootstrap_jitter_0p02,0.75,123,0.256621594819,0.177061167266
bootstrap_jitter_0p02,0.75,2026,0.263438996258,0.185053880425
bootstrap_jitter_0p075,0,,1.47957624427,1.14692737976
bootstrap_jitter_0p075,0.25,42,0.281632927442,0.205181765461
bootstrap_jitter_0p075,0.25,123,0.26058054538,0.184570566839
bootstrap_jitter_0p075,0.25,2026,0.308915564597,0.226289653773
bootstrap_jitter_0p075,0.5,42,0.264454420724,0.181396488963
bootstrap_jitter_0p075,0.5,123,0.336285760143,0.252668409209
bootstrap_jitter_0p075,0.5,2026,0.25117408868,0.178484482196
bootstrap_jitter_0p075,0.75,42,0.269632120747,0.191482861261
bootstrap_jitter_0p075,0.75,123,0.257486393602,0.177632016141
bootstrap_jitter_0p075,0.75,2026,0.259992304219,0.181921804646
bootstrap_jitter_0p10,0,,1.47957624427,1.14692737976
bootstrap_jitter_0p10,0.25,42,0.279572725765,0.203300897424
bootstrap_jitter_0p10,0.25,123,0.259693395682,0.183449016421
bootstrap_jitter_0p10,0.25,2026,0.307074510316,0.224276601846
bootstrap_jitter_0p10,0.5,42,0.263819319502,0.180665634163
bootstrap_jitter_0p10,0.5,123,0.335640970138,0.252253870584
bootstrap_jitter_0p10,0.5,2026,0.251332608532,0.178765561721
