method,ratio,mean_rmse,std_rmse,mean_mae,std_mae,delta_rmse_pct_vs_real_only,delta_mae_pct_vs_real_only
baseline_jitter_0p05,0,1.47957624427,0,1.14692737976,0,0,0
baseline_jitter_0p05,0.25,0.285467497262,0.020090099968,0.20713763666,0.0174564916094,-80.7061313422,-81.9397775033
baseline_jitter_0p05,0.5,0.284046975985,0.0373374674281,0.204257244543,0.0341975966743,-80.8021399988,-82.1909173895
baseline_jitter_0p05,0.75,0.262743682476,0.00497491193591,0.184047242093,0.00562962674909,-82.2419639749,-83.9530169615
bootstrap_jitter_0p02,0,1.47957624427,0,1.14692737976,0,0,0
bootstrap_jitter_0p02,0.25,0.287704435133,0.0203313216857,0.209312871062,0.0178272600213,-80.5549436031,-81.7501199503
bootstrap_jitter_0p02,0.5,0.28402795014,0.0373091203819,0.204301586707,0.0340998841781,-80.8034258971,-82.1870512194
bootstrap_jitter_0p02,0.75,0.262897969383,0.00491866515919,0.184236613652,0.00555521988157,-82.2315361982,-83.9365057541
bootstrap_jitter_0p075,0,1.47957624427,0,1.14692737976,0,0,0
bootstrap_jitter_0p075,0.25,0.28370967914,0.0197872550544,0.205347328691,0.0170321482699,-80.8249368535,-82.0958735212
bootstrap_jitter_0p075,0.5,0.283971423182,0.0373870226464,0.204183126789,0.0343048772466,-80.80724638,-82.1973796778
bootstrap_jitter_0p075,0.75,0.262370272856,0.00523582041307,0.183678894016,0.00578947320168,-82.2672015807,-83.9851330382
bootstrap_jitter_0p10,0,1.47957624427,0,1.14692737976,0,0,0
bootstrap_jitter_0p10,0.25,0.282113543921,0.0194265166488,0.20367550523,0.0166698966437,-80.9328147154,-82.2416389368
bootstrap_jitter_0p10,0.5,0.283597632724,0.0371515922906,0.203895022156,0.034203666809,-80.8325097255,-82.2224993705
bootstrap_jitter_0p10,0.75,0.261904788393,0.00567358918221,0.18319994272,0.00608430274362,-82.2986622414,-84.0268925519
bootstrap_jitter_0p125,0,1.47957624427,0,1.14692737976,0,0,0
bootstrap_jitter_0p125,0.25,0.280602234175,0.0190310516283,0.202025922406,0.0163604865046,-81.034959485,-82.3854652028
bootstrap_jitter_0p125,0.5,0.283047353324,0.0368224459894,0.203531168991,0.0340418438298,-80.8697014148,-82.2542235382
bootstrap_jitter_0p125,0.75,0.261331788459,0.0063033982912,0.182653337563,0.00650780761991,-82.3373895417,-84.0745507704
bootstrap_jitter_0p15,0,1.47957624427,0,1.14692737976,0,0,0
bootstrap_jitter_0p15,0.25,0.279247984587,0.0184664716644,0.200427825779,0.0159679057528,-81.1264890425,-82.5248024141
bootstrap_jitter_0p15,0.5,0.282338427842,0.0363471965182,0.203064646331,0.0338465749293,-80.917615504,-82.2948994056
bootstrap_jitter_0p15,0.75,0.260674636317,0.00703196178614,0.182018383018,0.00701799837582,-82.3818044304,-84.129912126
correlated_jitter_0p10,0,1.47957624427,0,1.14692737976,0,0,0
correlated_jitter_0p10,0.25,0.283623366903,0.0220955667176,0.205204648492,0.0188477575781,-80.8307704316,-82.1083137333
correlated_jitter_0p10,0.5,0.281853781887,0.0382693392344,0.201945105084,0.034659248707,-80.950371231,-82.3925116229
correlated_jitter_0p10,0.75,0.262259195325,0.00663683707882,0.183734068681,0.00697337642981,-82.2747089688,-83.9803223879
correlated_jitter_0p125,0,1.47957624427,0,1.14692737976,0,0,0
correlated_jitter_0p125,0.25,0.282199919729,0.0227787834388,0.203753794616,0.0193755836089,-80.9269768407,-82.2348129261
correlated_jitter_0p125,0.5,0.280852147161,0.0382007089586,0.201161311668,0.0345547279086,-81.0180686363,-82.4608501621
correlated_jitter_0p125,0.75,0.262034904507,0.00700818094266,0.183521804603,0.00734113323649,-82.2898680942,-83.9988295822
temporal_jitter_0p03_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p03_rho0p85,0.25,0.288946043282,0.0200308190856,0.21042453597,0.0174081199737,-80.4710271335,-81.6531944669
temporal_jitter_0p03_rho0p85,0.5,0.283166885676,0.0374863200225,0.203603445088,0.034354299482,-80.8616225914,-82.247921823
temporal_jitter_0p03_rho0p85,0.75,0.263211656767,0.00578278583434,0.184548319201,0.00643501543752,-82.2103350343,-83.9093283099
temporal_jitter_0p05_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p05_rho0p85,0.25,0.288478203896,0.0197253643938,0.209931635331,0.0170280010177,-80.5026469563,-81.6961702165
temporal_jitter_0p05_rho0p85,0.5,0.28218371183,0.0372750428254,0.202847077272,0.0343566193753,-80.9280722827,-82.3138691383
temporal_jitter_0p05_rho0p85,0.75,0.262947440362,0.00631519010294,0.184308163403,0.00694131440637,-82.2281926071,-83.9302673686
temporal_jitter_0p075_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p075_rho0p85,0.25,0.287712410802,0.0192620744787,0.209157891125,0.0164943461925,-80.5544045522,-81.7636325702
temporal_jitter_0p075_rho0p85,0.5,0.280564883077,0.0366309537944,0.201732314956,0.0341347562889,-81.0374839307,-82.4110646832
temporal_jitter_0p075_rho0p85,0.75,0.262034103569,0.00687830306916,0.183499421973,0.0074778360639,-82.2899222271,-84.000781112
temporal_jitter_0p10_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p10_rho0p85,0.25,0.286874088198,0.0187703428672,0.208284222165,0.0159911819012,-80.6110641943,-81.8398073111
temporal_jitter_0p10_rho0p85,0.5,0.278556179484,0.0356058192135,0.200467857898,0.0334734405214,-81.1732460181,-82.5213120346
temporal_jitter_0p10_rho0p85,0.75,0.260562880692,0.0073221560346,0.182213630697,0.00786087966551,-82.3893576488,-84.1128885828
temporal_jitter_0p10_rho0p65,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p10_rho0p65,0.25,0.284804758634,0.0198311587983,0.206255580313,0.0167846121071,-80.7509238042,-82.016683536
temporal_jitter_0p10_rho0p65,0.5,0.280407788769,0.0370391375192,0.201126971097,0.0341535939085,-81.048101451,-82.4638442985
temporal_jitter_0p10_rho0p65,0.75,0.261466712672,0.00717819679603,0.182976225564,0.00756279077878,-82.3282704298,-84.046398334
temporal_jitter_0p10_rho0p95,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p10_rho0p95,0.25,0.291793994908,0.0223554842183,0.212941481908,0.0192611044524,-80.2785428572,-81.4337432634
temporal_jitter_0p10_rho0p95,0.5,0.279347169545,0.0345219380551,0.201198322884,0.0327155335381,-81.1197854367,-82.4576231734
temporal_jitter_0p10_rho0p95,0.75,0.259051547707,0.007638350119,0.181007703234,0.00832951805902,-82.491503989,-84.2180327692
temporal_jitter_0p125_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p125_rho0p85,0.25,0.285824640952,0.0179260899847,0.207174837004,0.0152189143015,-80.6819931005,-81.9365340247
temporal_jitter_0p125_rho0p85,0.5,0.276445987415,0.0345733148387,0.199236970004,0.032697463586,-81.3158673988,-82.628632508
temporal_jitter_0p125_rho0p85,0.75,0.258725437818,0.00759439256519,0.180630630947,0.00803088839251,-82.5135447517,-84.2509095052
temporal_jitter_0p15_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p15_rho0p85,0.25,0.284678694326,0.016928510701,0.205997784323,0.0144145730805,-80.7594441024,-82.0391606339
temporal_jitter_0p15_rho0p85,0.5,0.274236470574,0.0334670935729,0.197990059238,0.0318500819275,-81.4652018349,-82.7373500073
temporal_jitter_0p15_rho0p85,0.75,0.256653750112,0.00764630065546,0.178832883884,0.00797759266899,-82.6535637412,-84.407654134
temporal_jitter_0p175_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p175_rho0p85,0.25,0.283220092497,0.0157145441767,0.204575888161,0.0134143862445,-80.8580265063,-82.1631350187
temporal_jitter_0p175_rho0p85,0.5,0.272195870179,0.0325044329528,0.19697815762,0.0311907818125,-81.6031197288,-82.8255771815
temporal_jitter_0p175_rho0p85,0.75,0.254458316408,0.00754247095963,0.17688823153,0.00782509708288,-82.8019463415,-84.5772073584
temporal_jitter_0p20_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p20_rho0p85,0.25,0.281548699869,0.0142383368653,0.202987884271,0.0122006636598,-80.9709907847,-82.3015922495
temporal_jitter_0p20_rho0p85,0.5,0.27024588271,0.0314097468943,0.196112769658,0.0304176179744,-81.7349133742,-82.9010299066
temporal_jitter_0p20_rho0p85,0.75,0.252275414937,0.0073233241528,0.174948177533,0.00757559318938,-82.9494819267,-84.7463596544
temporal_jitter_0p25_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p25_rho0p85,0.25,0.277595338667,0.0108183539751,0.199376100509,0.0093415052438,-81.2381862887,-82.6165017919
temporal_jitter_0p25_rho0p85,0.5,0.267281304273,0.0297149835328,0.19508951123,0.0285882475896,-81.9352800973,-82.9902472752
temporal_jitter_0p25_rho0p85,0.75,0.248176573123,0.00662454385408,0.171276149452,0.00670075730311,-83.226510017,-85.0665218675
temporal_jitter_0p30_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p30_rho0p85,0.25,0.273801488831,0.00761864224328,0.196152222471,0.00653066451769,-81.4946009108,-82.8975900364
temporal_jitter_0p30_rho0p85,0.5,0.265681703278,0.0282413171272,0.195597812251,0.0260762336938,-82.0433922005,-82.9459287743
temporal_jitter_0p30_rho0p85,0.75,0.244688142972,0.00588315336973,0.168439295586,0.00555706208064,-83.4622822636,-85.3138656763
temporal_jitter_0p40_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p40_rho0p85,0.25,0.267888978236,0.00251085135176,0.193412192361,0.0010146848853,-81.8942092864,-83.1364918324
temporal_jitter_0p40_rho0p85,0.5,0.265545141668,0.0240587769674,0.199305335975,0.019554074378,-82.052621979,-82.6226717146
temporal_jitter_0p40_rho0p85,0.75,0.240108148118,0.00558425529088,0.16578620371,0.00640485512591,-83.7718300055,-85.5451873731
temporal_jitter_0p50_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
temporal_jitter_0p50_rho0p85,0.25,0.317908823333,0.0790685152769,0.247693237919,0.0876632841987,-78.5135220598,-78.4037557834
temporal_jitter_0p50_rho0p85,0.5,0.239344479813,0.0048685499355,0.170157372613,0.00732639148802,-83.8234439935,-85.1640674365
temporal_jitter_0p50_rho0p85,0.75,0.245011201123,0.0219423646567,0.176748800922,0.0312238637029,-83.4404477585,-84.5893642404
regime_temporal_jitter_0p03_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
regime_temporal_jitter_0p03_rho0p85,0.25,0.260588347692,0.011532012722,0.184254440768,0.00980023738172,-82.3876364127,-83.9349514171
regime_temporal_jitter_0p03_rho0p85,0.5,0.261781128063,0.0145268334333,0.183046551211,0.0123630865242,-82.3070200622,-84.0402666775
regime_temporal_jitter_0p03_rho0p85,0.75,0.257442561531,0.0144809895368,0.179607057846,0.012096018124,-82.6002504076,-84.34015431
regime_temporal_jitter_0p05_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
regime_temporal_jitter_0p05_rho0p85,0.25,0.260559503847,0.0110287439428,0.184923508292,0.00925646509611,-82.3895858793,-83.8766157687
regime_temporal_jitter_0p05_rho0p85,0.5,0.262218767785,0.0151336710742,0.183463078526,0.012913131253,-82.2774413417,-84.0039498782
regime_temporal_jitter_0p05_rho0p85,0.75,0.257227350413,0.01445698456,0.179366763208,0.0120031582828,-82.614795864,-84.3611054741
regime_temporal_jitter_0p075_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
regime_temporal_jitter_0p075_rho0p85,0.25,0.260564567885,0.0102653616048,0.185853406386,0.00858443180084,-82.3892436166,-83.7955384389
regime_temporal_jitter_0p075_rho0p85,0.5,0.262649024918,0.0157758747886,0.183832414111,0.0135375434026,-82.2483615876,-83.9717477013
regime_temporal_jitter_0p075_rho0p85,0.75,0.256412539719,0.0141758016594,0.178600970537,0.0116608595194,-82.6698664085,-84.4278745377
regime_temporal_jitter_0p10_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
regime_temporal_jitter_0p10_rho0p85,0.25,0.260537166585,0.00915960582391,0.186882923947,0.00797428623698,-82.391095586,-83.7057753398
regime_temporal_jitter_0p10_rho0p85,0.5,0.26288068909,0.0162198789203,0.183994587154,0.0140171674623,-82.23270412,-83.9576079182
regime_temporal_jitter_0p10_rho0p85,0.75,0.255161779235,0.0136305056824,0.177443299403,0.0111177531289,-82.7544014562,-84.5288112801
regime_mixup_jitter_0p01_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
regime_mixup_jitter_0p01_rho0p85,0.25,0.312080724375,0.0438688200802,0.233441367899,0.0473782840272,-78.9074253129,-79.6463688966
regime_mixup_jitter_0p01_rho0p85,0.5,0.250999789616,0.00779947340908,0.176647048552,0.00599365205778,-83.0356975122,-84.5982359764
regime_mixup_jitter_0p01_rho0p85,0.75,0.252756223555,0.00653219142531,0.174560410663,0.00463284245418,-82.9169855535,-84.7801688455
regime_mixup_jitter_0p02_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
regime_mixup_jitter_0p02_rho0p85,0.25,0.311532700733,0.0431966158461,0.232921801784,0.0467087406903,-78.9444645425,-79.6916695952
regime_mixup_jitter_0p02_rho0p85,0.5,0.251062829246,0.00800620729987,0.176624708227,0.00617166613143,-83.0314368578,-84.6001838177
regime_mixup_jitter_0p02_rho0p85,0.75,0.252830018714,0.00667062961133,0.174631565979,0.00479804702497,-82.9119979661,-84.7739648507
regime_mixup_jitter_0p03_rho0p85,0,1.47957624427,0,1.14692737976,0,0,0
regime_mixup_jitter_0p03_rho0p85,0.25,0.310732635362,0.0422542418124,0.232158051561,0.0457611827999,-78.998538496,-79.7582605788
regime_mixup_jitter_0p03_rho0p85,0.5,0.251121034168,0.00822437396969,0.176581185942,0.00635193746124,-83.0275029664,-84.603978503
regime_mixup_jitter_0p03_rho0p85,0.75,0.252846527781,0.00679085072999,0.174647784838,0.004940459138,-82.9108821691,-84.7725507368
pca_gmm_24c8,0,1.47957624427,0,1.14692737976,0,0,0
pca_gmm_24c8,0.25,0.351743523053,0.0126444692345,0.260799046556,0.0132679090701,-76.2267389453,-77.2610671644
pca_gmm_24c8,0.5,0.273442125288,0.0139188946964,0.199867290539,0.0118235972576,-81.5188891855,-82.5736751893
pca_gmm_24c8,0.75,0.254278484487,0.013084645229,0.188247141645,0.016787822209,-82.814100627,-83.5868299103
pca_gmm_32c12,0,1.47957624427,0,1.14692737976,0,0,0
pca_gmm_32c12,0.25,0.295820076916,0.00904993186588,0.217468510506,0.00324568080499,-80.0064323781,-81.0390340012
pca_gmm_32c12,0.5,0.260421228551,0.00812433048987,0.187494750142,0.00845415483437,-82.3989314806,-83.652430533
pca_gmm_32c12,0.75,0.244949292445,0.00485418697525,0.173984366585,0.00574757820717,-83.4446319753,-84.8303938283
