noise_scale,invalid_rate,range_p01,range_p05,volume_p01,volume_p05
0.03,0,0.0205295425066,0.0238908871572,19.3534122423,19.4533850473
0.05,0,0.0202429471944,0.0235909770907,19.3518215819,19.4541067795
0.075,0,0.0199090096929,0.0230779482747,19.3473235942,19.4507820951
0.1,0,0.0193407967442,0.0224948597799,19.3425837744,19.4486449627
0.125,0,0.0188165373272,0.0217628356988,19.3375417973,19.4478663762
0.15,0,0.0182133073331,0.0210110686825,19.3324363651,19.447279893
0.175,0,0.0174839699945,0.0201911403315,19.3258457698,19.4403782177
0.2,0,0.016341830984,0.0193465441752,19.3212605045,19.4366832705
0.25,0,0.0140451573405,0.017629849684,19.3101832,19.4275253809
0.3,0,0.0119277496464,0.0158807914837,19.2898609086,19.411459565
0.4,0,0.00744260580831,0.01213123725,19.242385721,19.3759653088
0.5,0.0048,0.00241676097739,0.00808052400591,19.1931100319,19.3292405962
