synthetic_ratio,neural_method_id,neural_method_name,baseline_method_id,baseline_method_name,baseline_rmse_mean,neural_rmse_mean,rmse_difference_vs_baseline,baseline_mae_mean,neural_mae_mean,mae_difference_vs_baseline,baseline_rmse_improvement_pct,neural_rmse_improvement_pct,rmse_improvement_pct_difference_vs_baseline
0.25,cristian,WGAN-GP,bootstrap_jitter,Bootstrap + Jitter,0.285467141838,0.283333949114,0.00213319272384,0.207137166747,0.201646709873,0.00549045687395,80.7062624192,80.8504375433,0.144175124177
0.5,cristian,WGAN-GP,bootstrap_jitter,Bootstrap + Jitter,0.284047174765,0.274911251063,0.00913592370243,0.204257290696,0.199811185026,0.00444610567026,80.8022330864,81.4196985969,0.617465510526
0.75,cristian,WGAN-GP,bootstrap_jitter,Bootstrap + Jitter,0.262743992132,0.253658218734,0.00908577339778,0.184047466362,0.182242189426,0.00180527693566,82.2420415797,82.8561176044,0.614076024747
0.25,daniel,DDPM,bootstrap_jitter,Bootstrap + Jitter,0.285467141838,0.309787275475,-0.0243201336371,0.207137166747,0.22939337265,-0.0222562059029,80.7062624192,79.0625486337,-1.64371378542
0.5,daniel,DDPM,bootstrap_jitter,Bootstrap + Jitter,0.284047174765,0.309300872655,-0.0252536978896,0.204257290696,0.242643023691,-0.038385732995,80.8022330864,79.0954229194,-1.70681016698
0.75,daniel,DDPM,bootstrap_jitter,Bootstrap + Jitter,0.262743992132,0.244600414124,0.0181435780077,0.184047466362,0.179606455572,0.00444101078995,82.2420415797,83.4683033154,1.22626173578
0.25,marco,TimeVAE,bootstrap_jitter,Bootstrap + Jitter,0.285467141838,0.381501406164,-0.0960342643266,0.207137166747,0.276069106138,-0.0689319393908,80.7062624192,74.2156383748,-6.49062404436
0.5,marco,TimeVAE,bootstrap_jitter,Bootstrap + Jitter,0.284047174765,0.355980147221,-0.0719329724554,0.204257290696,0.255318432693,-0.0510611419967,80.8022330864,75.9405320688,-4.8617010176
0.75,marco,TimeVAE,bootstrap_jitter,Bootstrap + Jitter,0.262743992132,0.322274112282,-0.0595301201503,0.184047466362,0.233441754224,-0.0493942878622,82.2420415797,78.2186064868,-4.02343509289
0.25,david,Normalizing Flow,bootstrap_jitter,Bootstrap + Jitter,0.285467141838,0.283945313023,0.00152182881526,0.207137166747,0.209142385986,-0.00200521923968,80.7062624192,80.8091175696,0.102855150388
0.5,david,Normalizing Flow,bootstrap_jitter,Bootstrap + Jitter,0.284047174765,0.272027280322,0.0120198944435,0.204257290696,0.193897171384,0.0103601193119,80.8022330864,81.6146162127,0.812383126301
0.75,david,Normalizing Flow,bootstrap_jitter,Bootstrap + Jitter,0.262743992132,0.252899107693,0.00984488443926,0.184047466362,0.174023214687,0.0100242516744,82.2420415797,82.9074232963,0.665381716655
