method_id,method_name,synthetic_ratio,rmse_mean,rmse_std,rmse_min,rmse_max,rmse_range,rmse_cv,mae_mean,mae_std,mae_min,mae_max,mae_range,n_seeds
bootstrap_jitter,Bootstrap + Jitter,0.25,0.285467141838,0.0200896444375,0.261722077553,0.31084965777,0.0491275802177,0.070374629837,0.207137166747,0.0174559779977,0.185767757268,0.228525983111,0.0427582258433,3
bootstrap_jitter,Bootstrap + Jitter,0.5,0.284047174765,0.0373372736962,0.251057484629,0.336247317328,0.0851898326984,0.131447439064,0.204257290696,0.0341974633687,0.178194690829,0.252569682129,0.0743749913006,3
bootstrap_jitter,Bootstrap + Jitter,0.75,0.262743992132,0.00497481978897,0.257119699845,0.269216568592,0.012096868747,0.0189340953093,0.184047466362,0.00562954401414,0.177366695907,0.191137935363,0.0137712394557,3
cristian,WGAN-GP,0.25,0.283333949114,0.0188141668884,0.258700813598,0.30436061386,0.0456598002621,0.0664027976428,0.201646709873,0.0160452932244,0.182187610565,0.221484906448,0.0392972958831,3
cristian,WGAN-GP,0.5,0.274911251063,0.029378216111,0.252073079026,0.316387495901,0.0643144168746,0.106864364399,0.199811185026,0.0243567743628,0.17957586364,0.234069630966,0.0544937673258,3
cristian,WGAN-GP,0.75,0.253658218734,0.0157635314559,0.238612003732,0.275427095661,0.0368150919285,0.0621447691883,0.182242189426,0.0103773944528,0.171363789696,0.196212554975,0.0248487652792,3
daniel,DDPM,0.25,0.309787275475,0.0347463754041,0.277360566544,0.357974796333,0.080614229789,0.11216204846,0.22939337265,0.0320083122563,0.194769741502,0.271957934705,0.077188193203,3
daniel,DDPM,0.5,0.309300872655,0.06383377409,0.260058908883,0.39944702394,0.139388115057,0.206380840578,0.242643023691,0.0686183522409,0.192172774472,0.339657552409,0.147484777938,3
daniel,DDPM,0.75,0.244600414124,0.00731911562411,0.239018218628,0.254940253513,0.0159220348847,0.0299227442043,0.179606455572,0.0111745614832,0.171187262871,0.195398112715,0.0242108498438,3
marco,TimeVAE,0.25,0.381501406164,0.00064757996949,0.381023369775,0.382416923164,0.00139355338879,0.0016974510684,0.276069106138,0.00181011377801,0.273730234887,0.278139668163,0.00440943327603,3
marco,TimeVAE,0.5,0.355980147221,0.00324573137016,0.351405692351,0.35859590194,0.00719020958899,0.00911773141143,0.255318432693,0.00224695998988,0.252142668388,0.257001889968,0.00485922158043,3
marco,TimeVAE,0.75,0.322274112282,0.00315716830814,0.319175769934,0.326607484169,0.0074317142352,0.00979653092762,0.233441754224,0.00216442031173,0.231078819199,0.236308296358,0.00522947715894,3
david,Normalizing Flow,0.25,0.283945313023,0.0135646059549,0.270678255588,0.302578287241,0.0319000316532,0.0477718959701,0.209142385986,0.0186926198387,0.192753194799,0.235299911848,0.0425467170493,3
david,Normalizing Flow,0.5,0.272027280322,0.0116087227794,0.256295150824,0.283957670717,0.0276625198924,0.0426748477787,0.193897171384,0.0116948391803,0.178605662176,0.207000141833,0.0283944796575,3
david,Normalizing Flow,0.75,0.252899107693,0.00574312777978,0.245013248018,0.258525839163,0.0135125911445,0.0227091658495,0.174023214687,0.00547133705204,0.166479330249,0.179285341256,0.0128060110066,3
